"Word";"Phonetics";"DateEntryWord";"Definition";"RandomNumber";"CounterWords";"CumulWord";"Transl_F";"TypeOfWord";"Sentence";"DateSource";"TitleOfArticle";"Content";"Source"
"to tap (for)";"d";12.5.1996 00:00:00;" ";700;0;5;"(fig) resources, supplies exploiter, utiliser";"adjectif";"To tap sb for money*  R&C";;;;"Jokes"
"to come in (3)";"d";6.3.1992 00:00:00;" ";267;0;5;;"adjectif";"When do strawberries come in ? R&C";;;;"Jokes"
"keep";;25.4.1996 00:00:00;" ";616;0;5;"(U: livelihood, food)";"adjectif";"To earn one�s keep
I got $15 a week and my keep
He�s not worth his keep";13.4.1996 00:00:00;;;"Robert&Collins"
"link-up";;19.4.1996 00:00:00;" ";145;0;4;"(gen) lien, rapport
(Rad, TV: connection) liaison";"adjectif";"There is no apparent link-up between the two cases
Is there any link-up between our company and theirs?";13.4.1996 00:00:00;;;"Robert&Collins"
"fillip";;19.4.1996 00:00:00;" ";151;0;3;"(with finger) chiquenaude, pichenette
(fig) coup de fouet (fig)
notre publicit� a donn� un coup de fouet � nos affaires.";"adjectif";"Our advertisments gave a fillip to our business";13.4.1996 00:00:00;;;"Robert&Collins"
"to come over (1)";"d";6.3.1992 00:00:00;" ";655;0;2;"Elle a failli s��vanouir";"adjectif";"She came over faint. R&C";;;;"Jokes"
"to mingle with";"d";12.3.1994 00:00:00;;700;0;1;" ";"adjectif";"He mingles with all sorts of people";15.1.1990 00:00:00;;;"Robert&Collins"
"to come over (2)";"d";6.3.1992 00:00:00;" ";652;0;1;"Il est venu passer quelques mois en Angleterre";"adjectif";"He came over to England for a few months. R&C";;;;"Jokes"
"to come in (2)";"d";6.3.1992 00:00:00;" ";663;0;1;"Quand est-ce que j�entre en jeu, moi ?";"adjectif";"When do I come in ? R&C";;;;"Jokes"
"to boil down to";"d";20.4.1994 00:00:00;" (may) be summarized, or stated in outline, as; summarize, state in outline, as";642;0;1;"vi [jam etc] se r�duire
(fig) se ramener, revenir (to,�)
Tout cela revient absolument au m�me";"adjectif";"It all boils down to the same thing";;;;"Jokes"
"to plug";"d";20.4.1994 00:00:00;;700;0;1;" ";"adjectif";"To plug the gap in the tax laws";;;;"Jokes"
"to flummox";" ";19.4.1996 00:00:00;;8;0;2;" ";"adjectif";"He was flummoxed";13.4.1996 00:00:00;;;"Robert&Collins"
