"ID_conjugation";"Conjugation";"CumulTense";"CounterTense";"DateOfEntry";"Tense"
1;"diligo
diligi
dilige
diligiamo
diligete
diligono";14;0;20.7.1996 00:00:00;"Indicativo Presente"
2;"diligevo
diligevi
diligeva
diligevamo
diligevate
diligevano";4;0;20.7.1996 00:00:00;"Imperfecto"
3;"dilessi
diligesti
dilesse
diligemmo
diligeste
dilissero";0;0;20.7.1996 00:00:00;"Passato Remoto"
4;"diligerò
diligerai
diligera
diligeremo
diligerete
diligeranno";0;0;20.7.1996 00:00:00;"Futuro Simple"
5;"diliga
diliga
diliga
diligiamo
diligiate
diligano";0;0;20.7.1996 00:00:00;"Congiuntivo Presente"
6;"diligerei
diligeresti
diligerebbe
diligeremmo
diligereste
diligerebbero";0;0;20.7.1996 00:00:00;"Condizionale Presente"
7;"dipingo
dipingi
dipinge
dipingiamo
dipingete
dipingono";1;0;31.7.1996 00:00:00;"Indicativo Presente"
8;"dipingevo
dipingevi
dipingeva
dipingevamo
dipingevate
dipingevano";1;0;31.7.1996 00:00:00;"Imperfecto"
9;"dipinsi
dipingesti
dipinse
dipingemmo
dipingeste
dipinsero";0;0;31.7.1996 00:00:00;"Passato Remoto"
10;"dipingerò
dipingerai
dipingerà
dipingeremo
dipingerete
dipingeranno";0;0;31.7.1996 00:00:00;"Futuro Simple"
11;"dipinga
dipinga
dipinga
dipingiamo
dipingiate
dipingano";0;0;31.7.1996 00:00:00;"Congiuntivo Presente"
12;"dipingerei
dipingeresti
dipingerebbe
dipingeremmo
dipingereste
dipingerebbero";0;0;31.7.1996 00:00:00;"Condizionale Presente"
13;"amo
ami
ama
amiamo
amate
amano";1;0;1.8.1996 00:00:00;"Indicativo Presente"
14;"amavo
amavi
amava
amavamo
amavate
amavano";0;0;1.8.1996 00:00:00;"Imperfecto"
15;"amai
amasti
amò
amanno
amaste
amarono";1;0;1.8.1996 00:00:00;"Passato Remoto"
16;"amerò
amerai
amerà
ameremo
amerete
ameranno";0;0;1.8.1996 00:00:00;"Futuro Simple"
17;"ami
ami
ami
amiamo
amiate
amino";0;0;1.8.1996 00:00:00;"Congiuntivo Presente"
