"Word";"Sentence"
"colto";"Alto, distinto, dotato di grande facilità di parola e molto colto, er davvero un paziente fuori del comune."
"degenza";"Bravo doveva esserlo davvero, vista la preparazione giuridica che dimostrava: durante la degenza assisteva, scrivendo istanze e ricorsi, tutti i poveri diavoli ricoverati che avevano subito torti e ingiustizie, soprattutto come conseguenze di infortuni su"
"guancia";"Alto, portamento distinto, moto più giovanile dei suoi 55 anni, neri gli occhi, pallido il volto dalle guance scarne."
"portamento";"Alto, portamento distinto, moto più giovanile dei suoi 55 anni, neri gli occhi, pallido il volto dalle guance scarne."
"scarno";"Alto, portamento distinto, moto più giovanile dei suoi 55 anni, neri gli occhi, pallido il volto dalle guance scarne."
"allorché";"Quanto all´eleganza del modo di parlare, ce ne rendemmo conto durante la prima visita, allorché lo invitammo a esporci le circostanze dell´incidente stradale nel quale era rimasto coinvolto."
"parco";"Dotato di una calda voce baritonale, si esprimeva alternando parole e pause, da consumato attore. Ed esponeva i fatti con estrema precisione, facendo un uso parco e sempre appropriato degli aggettivi.
- essere parco nel mangiare, nel bere"
"recare";"Venimmo dunque a sapere che un mattino il nostro avvocato- Luigi Terenzi, residente a Milano, come risultava dai documenti - si stava recando a Parma per un processo, percorrendo l´autostrada del Sole."
"vettura";"Era una giornata di primo inverno con nebbia fitta e, poco dopo Lodi, Terenzi era stato coinvolto in un gigantesco tamponamento. Ricordò: ""Una scena da film di guerra: vetture e camion accartocciati, disposti di traverso sulla carreggiata, ribaltati..."""
"accartocciare";"Era una giornata di primo inverno con nebbia fitta e, poco dopo Lodi, Terenzi era stato coinvolto in un gigantesco tamponamento. Ricordò: ""Una scena da film di guerra: vetture e camion accartocciati, disposti di traverso sulla carreggiata, ribaltati..."""
"ribaltare";"Era una giornata di primo inverno con nebbia fitta e, poco dopo Lodi, Terenzi era stato coinvolto in un gigantesco tamponamento. Ricordò: ""Una scena da film di guerra: vetture e camion accartocciati, disposti di traverso sulla carreggiata, ribaltati..."""
"spappolamento";"Il nostro paziente era uscito da quell´inferno con una frattura del femore destro e lo spappolamento del calcagno sinistro, rimasto impigliato tra freno e frizione."
"calcagno";"Il nostro paziente era uscito da quell´inferno con una frattura del femore destro e lo spappolamento del calcagno sinistro, rimasto impigliato tra freno e frizione.
- fig stare alle calcagna di q."
"impigliàre";"Il nostro paziente era uscito da quell´inferno con una frattura del femore destro e lo spappolamento del calcagno sinistro, rimasto impigliato tra freno e frizione.
- il vestito le s´impigliò nei rovi"
"reparto";"All´operazione era seguito un lungo periodo di immobilizzazione nel gesso. Rimosso quest´ultimo, il primario ortopedico dell´ospedale di L. aveva consigliato un ricovero nel nostro reparto per la riabilitazione degli arti traumatizzati."
"primario";"All´operazione era seguito un lungo periodo di immobilizzazione nel gesso. Rimosso quest´ultimo, il primario ortopedico dell´ospedale di L. aveva consigliato un ricovero nel nostro reparto per la riabilitazione degli arti traumatizzati."
"disagio";"Il mio assistente, dottor Vignoli, gli fece notare, a quel punto, che avrebbe potuto ricevere le stesse nostre cure a Milano: con minor disagio, per uno come lui che risiedeva nella metropoli lombarda."
"degènza";"""A Milano con mancano ottimi servizi di recupero motorio dove potrebbe praticare le cure ambulatorialmente, evitando la degenza e il conseguente fastidio per i suoi familiari"". Ribatté Terenzi: ""La ringrazio per il consiglio, dottore, ma fortunatamente vi"
"ribàttere";"""A Milano con mancano ottimi servizi di recupero motorio dove potrebbe praticare le cure ambulatorialmente, evitando la degenza e il conseguente fastidio per i suoi familiari"". Ribatté Terenzi: ""La ringrazio per il consiglio, dottore, ma fortunatamente vi"
"solèrzia";"L´indomani l´avvocato Luigi Terenzi iniziò i suoi trattamenti eseguendo con solerzia e impegno tutto ciò che la terapista ordinava. Garbato con tutti, sorridente, non faceva pesare la sua posizione."
"garbato";"L´indomani l´avvocato Luigi Terenzi iniziò i suoi trattamenti eseguendo con solerzia e impegno tutto ciò che la terapista ordinava. Garbato con tutti, sorridente, non faceva pesare la sua posizione."
