"ID_Word_I";"Word";"TypeOfWord";"Artikel_ref";"Nature_ref";"Sentence";"F-translation";"DateEntryWord";"DateSource";"Source_ref";"TitleOfArticle";"Definition_I";"RandomNumber";"CounterWord";"CumulWord";"Gramm"
1;"colto";;;0;"Alto, distinto, dotato di grande facilità di parola e molto colto, er davvero un paziente fuori del comune.";"agg cultivé, éclairé, averti";23.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non  dimenticherò mai";;1,00;0,00;0,00;0
2;"degenza";;"la";0;"Bravo doveva esserlo davvero, vista la preparazione giuridica che dimostrava: durante la degenza assisteva, scrivendo istanze e ricorsi, tutti i poveri diavoli ricoverati che avevano subito torti e ingiustizie, soprattutto come conseguenze di infortuni su";"(a letto) l´alitement; (in ospedale) l´hospitalisation";23.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
3;"guancia";;"la";0;"Alto, portamento distinto, moto più giovanile dei suoi 55 anni, neri gli occhi, pallido il volto dalle guance scarne.";"la joue";23.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
4;"portamento";;"il";0;"Alto, portamento distinto, moto più giovanile dei suoi 55 anni, neri gli occhi, pallido il volto dalle guance scarne.";"l´allure;
(modo di camminare) la démarche;
(fig: comportamento) la conduite, le comportement";23.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
5;"scarno";;;0;"Alto, portamento distinto, moto più giovanile dei suoi 55 anni, neri gli occhi, pallido il volto dalle guance scarne.";"agg décharné: viso scarno;
(fig: povero di contenuto) pauvre";23.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
6;"allorché";;;0;"Quanto all´eleganza del modo di parlare, ce ne rendemmo conto durante la prima visita, allorché lo invitammo a esporci le circostanze dell´incidente stradale nel quale era rimasto coinvolto.";"cong lorsque";23.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
7;"parco";;;0;"Dotato di una calda voce baritonale, si esprimeva alternando parole e pause, da consumato attore. Ed esponeva i fatti con estrema precisione, facendo un uso parco e sempre appropriato degli aggettivi.
- essere parco nel mangiare, nel bere";"agg. sobre, frugal;
modéré: parco nello spendere";23.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
8;"recare";;;0;"Venimmo dunque a sapere che un mattino il nostro avvocato- Luigi Terenzi, residente a Milano, come risultava dai documenti - si stava recando a Parma per un processo, percorrendo l´autostrada del Sole.";"vtr. apporter: recare qc in dono a q., (fig) recare sollievo
vi. (andare) se rendre";23.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
9;"vettura";;"la";0;"Era una giornata di primo inverno con nebbia fitta e, poco dopo Lodi, Terenzi era stato coinvolto in un gigantesco tamponamento. Ricordò: ""Una scena da film di guerra: vetture e camion accartocciati, disposti di traverso sulla carreggiata, ribaltati...""";"la voiture, l´auto: vettura sport, da corsa";24.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
10;"accartocciare";;;0;"Era una giornata di primo inverno con nebbia fitta e, poco dopo Lodi, Terenzi era stato coinvolto in un gigantesco tamponamento. Ricordò: ""Una scena da film di guerra: vetture e camion accartocciati, disposti di traverso sulla carreggiata, ribaltati...""";"vi pron. se recroqueviller, se racornir";24.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
11;"ribaltare";;;0;"Era una giornata di primo inverno con nebbia fitta e, poco dopo Lodi, Terenzi era stato coinvolto in un gigantesco tamponamento. Ricordò: ""Una scena da film di guerra: vetture e camion accartocciati, disposti di traverso sulla carreggiata, ribaltati...""";"vi e intr pron. se renverser, culbuter, capoter";24.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
12;"spappolamento";;"lo";0;"Il nostro paziente era uscito da quell´inferno con una frattura del femore destro e lo spappolamento del calcagno sinistro, rimasto impigliato tra freno e frizione.";"l´écrabouillement, l´écrabouillage";24.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
13;"calcagno";;"il";0;"Il nostro paziente era uscito da quell´inferno con una frattura del femore destro e lo spappolamento del calcagno sinistro, rimasto impigliato tra freno e frizione.
- fig stare alle calcagna di q.";"le talon";24.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
14;"impigliàre";;;0;"Il nostro paziente era uscito da quell´inferno con una frattura del femore destro e lo spappolamento del calcagno sinistro, rimasto impigliato tra freno e frizione.
- il vestito le s´impigliò nei rovi";"vi pron se prendre
sa robe se prit dans les ronces";24.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
15;"reparto";;"il";0;"All´operazione era seguito un lungo periodo di immobilizzazione nel gesso. Rimosso quest´ultimo, il primario ortopedico dell´ospedale di L. aveva consigliato un ricovero nel nostro reparto per la riabilitazione degli arti traumatizzati.";"(di grande magazzino) le rayon; (d´ospedale) le service: reparto chirurgico";24.4.1996 00:00:00;1.11.1991 00:00:00;1;"Un paziente che non dimenticherò mai";;1,00;0,00;0,00;0
