"ID_Word";"Word";"Definition";"Structure";"DateEntryWord";"Var1";"RandomNumber";"CounterWords";"CumulWord";"Phonetics"
1;"arremeter";"vintr. acometer con ímpetu y furia
Fig. y Fam. Chocar, disonar u ofender a la vista alguna cosa";;1.4.1994 00:00:00;;0;0;0;
2;"agregar";"""Adicionar. Añadir. Incorporar. Juntar""";;1.4.1994 00:00:00;;0;0;0;
3;"estridencia";;;1.4.1994 00:00:00;;0;0;0;
4;"palaciego";"Del palacio real o de la corte
Persona que forma parte de la corte de los reyes o soberanos.";;1.4.1994 00:00:00;;0;0;0;
5;"amedrentar";"'Asustar. Infundir miedo: Intimidar'. quitar a alguien el valor para hablar o para obrar.";;1.4.1994 00:00:00;;0;0;0;
6;"enconado";;;1.4.1994 00:00:00;;0;0;0;
7;"mermar";"intr. ""Mermarse"". Disminuir de volumen una cosa: la leche merma al hervir.
Disminuir cierta cosa, como ""rentar"" o ""atribuciones"", que tiene alquien.
vtr. Hacer que se merme una cosa: el sol merma el agua del estanque.";;1.4.1994 00:00:00;;0;0;0;
8;"amasijo";"1. Porción de harina amasada de una vez.
2. Argamasa
3. fig. e inf. Mezcla de cosas inconexas; particularmente de ideas.";;1.4.1994 00:00:00;;0;0;0;
9;"a quemarropa";"loc. adv. Tratándose de un disparo de arma de fuego, desde muy cerca.";;1.4.1994 00:00:00;;295;0;5;
10;"indefectible";"Se dice de lo que no puede faltar o dejar de ocurrir, porque ocurre o lo hay siempre en ocasiones semejantes: es indefectible que nos haga esperar";;1.4.1994 00:00:00;;0;0;0;
11;"tiroteo";;;1.4.1994 00:00:00;;0;0;0;
12;"escurrir";;;1.4.1994 00:00:00;;0;0;0;
13;"forcejo";;;1.4.1994 00:00:00;;0;0;0;
14;"incriminatorios";;;1.4.1994 00:00:00;;0;0;0;
15;"el fiscal";;;1.4.1994 00:00:00;;0;0;0;
16;"el letrado";;;1.4.1994 00:00:00;;0;0;0;
17;"resarcimiento";;;1.4.1994 00:00:00;;0;0;0;
18;"abocado";"Expuesto a un peligro inminente: Estamos abocados a una catástrofe.";;1.4.1994 00:00:00;;0;0;0;
19;"encallar";"""Embarrancar. Varar"" Quedar detenida en la arena o en las rocas una embarcación.
Fig. Quedarse detenido por las dificultades en algún asunto o empresa.";;1.4.1994 00:00:00;;0;0;0;
20;"las nutrias";;;1.4.1994 00:00:00;;0;0;0;
