ID_Joke;RandomNumber;Word1;Word2;Word3;Word4;Joke;CounterJokes;CumulJoke;DateEntry;RF_Language;RF_Source;language
26;113;operación urgente;primera o segunda;;;"Un señor tiene que operarse con la mayor urgencia. En el sanatorio le preguntan:
- Primera o segunda clase?
- Cuál es la diferencia?
- Mire, señor: en la primera los aparatos y los instrumentos son más modernos y los cirujanos de edad; mientras que en la segunda, los aparatos son viejos y los médicos jóvenes.";0;4;01.06.1994 00:00;2;1;s
29;91;doctor;vino;enfermera;factura;"- Doctor, dígame, por qué usted siempre quiere saber qué tipo de vino beben sus pacientes? - pregunta la enfermera sorprendida.
- Muy simple, señorita. Según el precio de la marca del vino así hago la factura de mi trabajo.";0;5;01.06.1994 00:00;2;1;s
27;158;pasos inseguros;médico;reúma/sífilis;pedo;"Un hombre va por la calle andando con pasos muy inseguros.
- Estoy convencido de que ese individuo sufre de reúma! dice un médico.
- Estás confundido, colega. Yo me inclino por diagnosticarle una sífilis!
Como no se ponen de acuerdo, los dos médicos deciden ir a preguntar al pobre hombre.
- Perdone, señor, nosotros somos doctores. Yo estoy seguro de que usted sufre reúma, y mi colega dice que usted tiene sífilis.
- Pues yo creo que los tres estamos confundidos - contesta el hombre.
- LOS TRES!
- Sí, los tres. Yo creía que era un pedo... y me he cagado!";0;1;01.06.1994 00:00;2;1;s
28;213;primera operación;primer trabajo;;;"- Sabe doctor, estoy muerto de miedo. Es la primera operación de mi vida....
- Hombre, tranquilícese! deje de temblar! Mucho más miedo tengo yo: es mi primer trabajo como cirujano!";0;4;01.06.1994 00:00;2;1;s
91;175;pordiosero;sordomudo;letrero;;"A la puerta de  una iglesia de Lérida hay un pordiosero con un letrero que pone: «Sordomudo».
Un caballero, dirigiéndose a su esposa, contesta:
- A ese pobre de daría una limosna si pudiera estar seguro de que no puede oír ni hablar.
El pobre, muy enojado, exclama:
- Eh, escolti! No sea tan desconfiado... No ve lo que dice el letrero?";0;2;;2;2;s
98;305;pasíon;dinero;millonario;;"- Los hombres que sienten pasión por el dinero se olvidan de todo lo demás.
- Es cierto. Mi marido, que es millonario, ha olvidado que es feo, gordo y bajito.";0;2;;2;2;s
96;175;restaurante;comer en casa;;;"En un restaurante, don Matías le dice a su mujer:
- Para comer tan mal y tan caro, igual podíamos haber comido en casa y guisar tú.";0;3;;2;2;s
95;246;esposos;santo;regalo;;"Entre esposos.
- Oye, Juan, pasado mañana es tu santo...
- Ya lo sé, querida.
- He te hacerte un regalo...
- Estupendo, te lo agradezco mucho.
- Sí. Puedes darme veinte mil pesetas, amor mío?";0;3;;2;2;s
94;88;consejo;casarse;madre;;"Un buen consejo catalán:
Antes de casarte con una joven, contempla y estudia bien a su madre.";0;4;;2;2;s
99;175;Judas;vender Jesucristo;;;"De religión
- Judas fue un verdadero canalla.. Mira que vender a Jesucristo por treinta monedas de plata.. Usted lo habría hecho, don Bernet?
- Hombre, yo por menos de tres millones y un coche no lo hubiera vendido, no, señor.";0;4;;2;2;s
92;212;marido;saliva;;;"- Oh, mi marido es tan catalán...
- Sí?
- Imagínate que no habla por no gastar saliva...";0;2;;2;2;s
43;110;coche;gasolina;;;Aquel individuo entorpecía siempre la circulación porque por no querer gastar en gasolina, empujaba su coche con las manos.;0;2;23.06.1994 00:00;2;2;s
47;88;2 catalanes;accidente;viuda;apuesta;"Dos compañeros catalanes salieron de paseo en coche, y sufrieron un accidente, en el que falleció uno de ellos, el llamado Oliver.
El otro, ileso, se presentó a casa de la esposa del muerto para comunicarle la triste nueva.
Cuando la mujer abrió la puerta, el amigo del difunto le preguntó de buenas a primeras:
- Es usted la viuda de Oliver?
- No, señor, yo soy la señora de  Oliver, no su viuda.
- Se apuesta algo, señora, a que sí lo es?";0;5;23.06.1994 00:00;2;2;s
46;161;accidente;coche perfecto;;;"Después de un aparatoso accidente, un marido gerundense le envió el siguiente telegrama a su mujer:
«Sufrido accidente estop amigo Remolons muerto estop amigo Bordaló muerto estop Yo malherido estop coche perfecto stop tuvimos suerte";0;1;23.06.1994 00:00;2;2;s
45;161;2 catalanes;cárcel;martillo;;"Dos catalanes están cumpliendo condena en la cárcel y uno le pregunta al otro:
- Por qué estás aquí, Rafecas?
- Porque anoche robé en el escaparate de una joyería y me llevé todas las joyas que alli había...
- Y cómo te trincaron si nadie te había visto?
- Porque a la mañana siguiente volví allí en busca del martillo con que había roto el escaparate.";0;3;23.06.1994 00:00;2;2;s
100;229;médico;apendectomía;50.000 pelas;;"El médico le dice al marido de la enferma:
- A su esposa habrá que hacerle una apendectomía:
- Y eso qué es?
- Traducido al catalán, son cinquenta mil pelas.";0;2;;2;2;s
44;17;payés;Loto;mulo;;"A un payés de Lérida le preguntó un amigo en cierta ocasión:
- Qué harías si te tocase la Bono Loto, y tuvieras cincuenta millones de pelas?
- Lo rapartiría entre la gente necesitada ...- contestó el payés, seguro de sí mismo.
- Y si tuvieras un auto?
- Se lo regalaría a un tullido.
- Y si tuvieras un castillo?
- Se lo daría a unos indigentes.
- Y si tuvieras un mulo? También lo darías?
- Ah, eso no.. -exclamó el payés.
- Por qué?
- Porque un mulo sí lo tengo!";0;4;23.06.1994 00:00;2;2;s
93;14;dos industriales;hija Roseta;multimillonario;;"Entre dos industriales catalanes.
- Amigo mío, tu hija Roseta se ha casado con Ramonet que es demasiado joven.
- No lo creas. A pesar de su poca edad, su padre ya es multimillonario.";0;3;;2;2;s
97;213;tacaños;boca grande;invitar;;"Entre dos chicos un poco tacaños:
- Ves esa noia?
- Cuál?
- La del rincón. Es muy guapa, pero su boca es demasiado grande.
- Yo no la veo tan grande.
- Invítala a comer y ya verás...";0;4;;2;2;s
74;353;extraterrestres;crocodile;nager;;"Deux extraterrestres en vacances ont posé leur soucoupe dans un marais de Floride. Apercevant un crocodile, ils nagent vers lui en criant:
- Bonjour Terrien. N´ayez surtout pas peur. Nous n´avons que des intentions pacifiques.";0;1;;3;3;s
84;329;navire;belle passagère;voyager;;"Un navire est parti, depuis deux jours, du Havre pour New-York. Un jeune homme, très timide, après avoir longuement hésité, se décide à aborder une belle passagère:
- Pardon, mademoiselle, lui demande-t-il, vous voyagez également sur ce bateau?";0;1;;3;3;s
83;353;paquebot;baignoire;couler;;"À bord d´un paquebot, le marin chargé des travaux de plomberie, est appelé dans une salle de bains complètement inondée.
- Rassurez-vous, dit-il au passager. Votre baignoire n´a aucune fuite. C´est seulement le bateau qui coule.";0;1;;3;3;s
82;5;2 farceurs;paquebot;vélomoteur;scaphandre;"Deux farceurs rivalisent de vantardise:
- Moi, dit le premier, j´ai fait une croisière sur un paquebot si grand que le capitaine ètait obligé de prendre son vélomoteur quand il voulait faire le tour du pont.
- Ce n´est rien, renchérit l´autre, à côté du bateau sur lequel j´ai navigué. Là, le cuisinier devait revêtir un scaphandre avant de plonger dans la marmite, pour voir si les pommes de terre, destinées aux passagers, étaient cuites.";0;2;;3;3;s
81;113;milliardaire;bédoin;lac privé;;"Un milliardaire Texan débarque au Sahara avec un équipement complet de plongeur sous-marin.
Un bédoin, juché sur son chameau, ricane:
- Il n´y a pas d´eau, ici.
- Je sais, répond le Texan. Mon lac privè va arriver d´une minute à l´autre.";0;1;;3;3;s
38;260;gitano;cojones;hambre;;"Va un gitano por la calle, medio desnudo, cuando de pronto le pregunta el churumbelito que va a su lado:
- Oye, papá, qué es eso que tienes ahí?
- Los cojones, hijo
Un señor, tras haber oído el comentario del padre, exclama:
- Usted cree que esa es forma de hablarle a un chiquillo?
- Y qué quiere? Si le digo que son los huevos me pega un bocao, con el hambre que lleva encima.";0;24;18.06.1994 00:00;2;1;s
52;129;borracho;cerillas;;;"Un borracho saca las cerillas para encender un cigarrillo, pero no enciende. Saca una tras otra y las tira. Finalmente, una de ellas enciende; lo apaga y dice:
- Hip..hip..Lo guardo.. hip..está..hip..es de las buenas..!";0;1;10.07.1994 00:00;2;1;s
51;229;cuatro compañeros;zona de la mujer;verdad;;"Cuatro viejos compañeros de escuela se encuentran cada año en un restaurante. Ya un poco bebidos discuten qué zona de la mujer es la más hermosa.
- La piel..!
- NO! Las piernas..!
- Yo diría que las tetas!
- Basta! Basta!- dice el cuarto, el más moralista.
Tengo miedo de que si seguís así uno de vosotros acabe por decir la verdad...!";0;4;10.07.1994 00:00;2;1;s
50;5;viejo;bomba de oxígeno;hijo;tubo de oxígeno;"El viejo está muy enfermo. Le han colocado una bomba de oxígeno, y su hijo se halla sentado a su lado. Lentamente, el padre agonizante habla a su hijo de toda la riqueza que le va a dejar. Le indica dónde tiene los documentos de sus propiedades, los certificados, las acciones de Bolsa, las pólizas de seguro, etc.
- Papá, papá! -murmura el hijo, conmovido, con lágrimas que le corren por las mejillas -. No sé cómo decirte lo agradecido que estoy. Quisiera sólo ser digno de ti...
Dime, hay algo que yo pueda hacer por ti...
- Sí, hijo mío...- fue la respuesta casi sin voz del viejo-. Puedes...dejar de pisar...el tubo de oxígeno?";0;4;10.07.1994 00:00;2;1;s
49;213;enfermera;beso;enfermera de noche;;"Mientras la enfermera se inclina para apagar la lamparita, el paciente susurra:
- Se ha olvidado del beso de las buenas noches.
Y ella responde también en un susurro:
- Si es eso lo que quiere, le mandaré a la enfermera de noche... Es la que a estas horas se ocupa de los trabajos desagradables!";0;4;10.07.1994 00:00;2;1;s
48;238;médico de provincia;hijo;indigestión;;"El viejo médico de provincia, cuyo hijo se ha doctorado en medicina, le confía toda su clientela y parte para unas largas vacaciones.
Cuando regresa, pregunta al hijo si ha pasado algo insólito mientras ha estado fuera.
- Sí, papá -dice orgullosamente el hijo-. He curado, por fin a la señora Pachote de aquella pesada indigestión, que la molestaba desde hacía treinta años!
- Imbécil! -le grita su padre- No sabes que ha sido precisamente esa indigestión la que te ha pagado los gastos de la universidad?";0;4;10.07.1994 00:00;2;1;s
53;161;hombre borracho;dormitorio;mujer con otro;;"Un hombre llega completamente borracho a su casa y es ayudado por un amigo a quien invita a entrar.
- Has visto? Este es el..co..comedor...esa..es..la...co..cocina.. y es.. éste... es el dor..dormitorio..
Entra y encuentra a su mujer con otro en la cama:
- Te presento..hip.. a mí.. hip ..señora..y el hombre..hip...Debo ser yo..? Hip.. o no..?";0;3;10.07.1994 00:00;2;1;s
40;161;mamá;vocabulario grosero;pajaritos;;"Una joven mamá se asusta un día al escuchar el vocabulario tan grosero de su hija. Cuando le pregunta quién le ha enseñado esas palabrotas, la niña le descubre que las ha aprendido de una amiguita con la que juega en el parque. Al día siguiente, la joven mamá va al parque, localiza a la jovencita mal hablada y le pregunta:
- Eres tú la niña que dice esas palabras tan feas?
- Qién se lo ha dicho?
- Un pajarito - contesta la mamá.
Serán desgraciados estos picos de mierda! -salta la pequeña
- Y yo que les doy de zampar todos los días a estos hijos de puta!";0;5;18.06.1994 00:00;2;1;s
56;14;doce de la noche;prostíbulo;hijo;;"Son las doce de la noche, y la ""madame"" está presentando a un hombre de cierta edad las ofertas del prostíbulo. En ese momento entra un joven, se asusta, y pregunta muy exigente:
- Pero, padre, Qué haces tú aquí?
- Muy simple, querido. Prefererías que despertase a mamá a estas horas?";0;2;10.07.1994 00:00;2;1;s
37;141;niño;padres;nariz;;"Un niño observa ávidamente a sus padres por el ojo de la cerradura. De pronto se vuelve y exclama:
- Joder! Y luego me dicen a mí que no meta el dedo en la nariz!";0;3;18.06.1994 00:00;2;1;s
36;14;Pedrín;negra;desteñir;;"Pedrín pregunta a su madre:
- Oye, mamá, las negras destiñen?
- No, hijo mío, cómo van a desteñir?
- Es que el otro día papá dijo a sus amigos que había estado con una negra y que se había puesto morado.";0;2;18.06.1994 00:00;2;1;s
42;229;divorcio;dinero;;;"Aquel marido se quejaba ante un amigo.
- Mi mujer es insoportable! Me divorciaría de ella si no costase tanto dinero!
- Pues qué hace?
- Pedirme dinero a todas horas!
- Estarás arruinado, claro.
- No, si es que no se lo doy nunca...";0;4;18.06.1994 00:00;2;1;s
35;158;falda cortísima;niña 11 años;bragas;;"La mamá está regañando a su hija, de once años, que lleva una falda cortísima.
- No te da vergüenza ir así por la calle?
- No, mamá!
- Piensa en las consequencias. Si tuvieses que agacharte se te verían las bragas...
- Ah, si es por eso, no debes preocuparte, nunca llevo bragas!";0;2;13.06.1994 00:00;2;1;s
55;213;2 rameras;10.000 ptas;pegar;;"Dos rameras comentan cómo les ha ido durante el día.
-Muy mal -dice una de ellas-. He encontrado a un tipo que me prometió 10.000 pesetas si me acostaba con él.
- Entonces, por qué te quejas?
- Porque el tipo era un sádico.
- Cómo? Qué te hizo?
Le gustaba pegar.
- Y te pegó mucho?
- NO, solamente hasta que le devolví las 10.000 ptas.";0;3;10.07.1994 00:00;2;1;s
39;234;padre;hijo;temas sexuales;;"Un padre llama a su hijo de 11 años y le habla en tono solemne.
Hijo, ya tienes edad suficiente y ha llegado el momento de que hablemos de hombre a hombre sobre los temas sexuales.
- Me parece muy bien papá--- Qué quieres que te explique?";0;3;18.06.1994 00:00;2;1;s
57;371;burdel;precios;sótano;autoservicio;"Un hombre entra en un burdel y pregunta los precios.
-En el segundo piso, 5.000 ptas.; en el primer piso, 2.000 ptas.; en la planta baja, 1.000 ptas, y en el sótano, 500 ptas.
El hombre se decide por el sótano. Piensa que se conformará por fea que sea la puta. Pero..
- Oiga, venga aquí? Cómo no hay ninguna chica en el sótano?
- Qué esperaba? Por 500 ptas esto es un autoservico!";0;5;10.07.1994 00:00;2;1;s
58;233;putas parisinas;hablar;política;;"Dos putas parisinas están charlando.
- Cuando estamos juntas siempre hablamos de sexo.
No podríamos elegir otro tema?
- Cual ?
- Bueno, qué te parece si hablásemos de política?
- De acuerdo. Oye, cuántas veces a la semana crees tú que lo hará el señor presidente?";0;2;10.07.1994 00:00;2;1;s
59;263;madame;tacaños;calva;;"La ""madame"" está indicando los precios a unos clientes muy tacaños:
- La rubia, diez mil pesetas; la morena, ocho mil; la pelirroja, cinco mil; y aquella egipcia, de cabello negro, dos mil...
Uno de los clientes se queda pensativo y, al fin, se decide:
- Oiga, no tendría una calva por mil pesetas?";0;4;10.07.1994 00:00;2;1;s
